id	title	question	answer	response_question	response_answer	statement
56cedbb9aab44d1400b88b11	New_York_City	In what year did construction begin on Fort Amsterdam?	1625	in what year did construction begin on Fort Amsterdam?	1625	construction began on Fort Amsterdam in 1625
56cedbb9aab44d1400b88b12	New_York_City	What person bought Manhattan from the Canarsie for the Dutch?	Peter Minuit	what person bought Manhattan from the Canarsie for the Dutch?	peter minuit	peter minuit bought Manhattan from the Canarsie for the Dutch
56cedbb9aab44d1400b88b13	New_York_City	In what year did the Dutch buy Manhattan?	1626	in what year did the Dutch buy Manhattan?	1626	the Dutch bought Manhattan in 1626
56cfb206234ae51400d9be8f	New_York_City	New Netherland established a permanent European presence in what year?	1624	New Netherland established a permanent european presence in what year?	1624	new Netherland established a permanent european presence in 1624
56cfb206234ae51400d9be90	New_York_City	What year did building begin of Fort Amsterdam on Manhattan Island?	1625	what year did building begin of Fort Amsterdam on Manhattan Island?	1625	building began of Fort Amsterdam on Manhattan Island in 1625
56cfb206234ae51400d9be91	New_York_City	What was the myth that Manhattan was bought for by General Peter Minuit ?	glass beads	what was the myth that Manhattan was bought for by General Peter Minuit ?	glass beads	General Peter Minuit bought Manhattan for glass beads
56cedc10aab44d1400b88b19	New_York_City	What did the English call New Amsterdam after its capture?	New York	what did the English call New Amsterdam after its capture?	new York	the English called New Amsterdam after its capture new York
56cedc10aab44d1400b88b1a	New_York_City	What was the regnal name of the Duke of York?	James II	what was the regnal name of the Duke of York?	james II	the duke of york’s regnal name was james II
56cedc10aab44d1400b88b1b	New_York_City	What person gave up New Amsterdam to the English?	Peter Stuyvesant	what person gave up New Amsterdam to the English?	peter stuyvesant	peter stuyvesant gave up New Amsterdam to the English
56cedc10aab44d1400b88b1c	New_York_City	What was Peter Stuyvesant's title?	Director-General	what was peter stuyvesant's title?	Director-General	peter stuyvesant was the Director-General
56cedc10aab44d1400b88b1d	New_York_City	In what year did the English take over New Amsterdam?	1664	in what year did the English take over New Amsterdam?	1664	the English took over New Amsterdam in 1664
56cfb240234ae51400d9be96	New_York_City	Who gave up New Amsterdam to the English without a fight in 1664?	Peter Stuyvesant	who gave up New Amsterdam to the English without a fight in 1664?	peter stuyvesant	peter stuyvesant gave up New Amsterdam to the English without a fight in 1664
56cedc8eaab44d1400b88b23	New_York_City	What was the regnal name of the Prince of Orange?	William III	What was the regnal name of the Prince of Orange?	william III	the regnal name of the Prince of Orange was william III
56cedc8eaab44d1400b88b24	New_York_City	What was the date of Anthonio Colve's capture of New York?	August 24, 1673	what was the date of anthonio colve's capture of new york?	august 24, 1673	anthonio colve's capture of new york occurred on august 24, 1
56cedc8eaab44d1400b88b25	New_York_City	What did Colve call New York after he captured it?	New Orange	what did Colve call New York after he captured it?	New Orange	Colve called New York New Orange
56cedc8eaab44d1400b88b26	New_York_City	In what year did the Dutch give New York back to the English?	1674	in what year did the Dutch give New York back to the English?	1674	the Dutch gave New York back to the English in 1674
56cfb43d234ae51400d9beab	New_York_City	August 24, 1673 is when which Dutch officer  took control of NYC?	Anthonio Colve	august 24, 1673 is when which dutch officer took control of nyc?	anthonio colve	august 24, 1673 is when anthonio colve took control of nyc
56cfb43d234ae51400d9beac	New_York_City	The Dutch gave back the island to which country in 1674 after their trade routes had been destroyed?	England	the Dutch gave back the island to which country in 1674 after their trade routes had been destroyed?	england	the Dutch gave back the island to england in 1674 after their trade route -s had been destroyed
56cfb43d234ae51400d9bead	New_York_City	New York was called New Orange for a period based off which historical figure?	King William III	New York was called New Orange for a period based off which historical figure?	King William III	New York was called New Orange for a period based off King William III
56cedd1caab44d1400b88b41	New_York_City	After what war did the English receive New Amsterdam?	Second Anglo-Dutch War	after what war did the English receive New Amsterdam?	the English received New Amsterdam after the second Anglo-Dutch War	the English received New Amsterdam following the second Anglo-Dutch War
56cedd1caab44d1400b88b42	New_York_City	How many Lenape lived in the area in 1700?	200	how many Lenape lived in the area in 1700?	200	the Lenape population in the area was 200 in 1700
56cedd1caab44d1400b88b43	New_York_City	What was the name of the island the English traded to the Dutch in return for New Amsterdam?	Run	what was the name of the island the English traded to the dutch in return for new Amsterdam?	Run	the island was named Run
56cfb502234ae51400d9beb1	New_York_City	In 1700, the Lenape Native American population had dwindled to how many?	200	in what year were the lenape native american population had dwindled to how many?	200	the lenape native american population had dwindled to 200
56cfb502234ae51400d9beb2	New_York_City	After which war did England gain New York in exchange for Run, an Indonesian island?	Second Anglo-Dutch War	after which war did england gain new york in exchange for run, an indonesian island?	the second Anglo-Dutch War	the second Anglo-Dutch War was the exchange for the island of run
56ceddd9aab44d1400b88b5f	New_York_City	In 1730, what percentage of New York households were slave-holding?	42%	in what year were the five borough -s combined into one city?	1898	the five borough -s were combined into one city in 1898
56ceddd9aab44d1400b88b60	New_York_City	In 1730, what American city had the highest percentage of slaveholders?	Charleston, South Carolina	in what year were the five borough -s combined into one city?	1898	the five borough -s were combined into one city in 1898
56ceddd9aab44d1400b88b61	New_York_City	Near what square was the African Burial Ground unearthed?	Foley Square	near what square was the african burial ground unearthed?	foley square	the african burial ground was unearthed near Foley Square
56ceddd9aab44d1400b88b62	New_York_City	What was being built that resulted in the discovery of the African Burial Ground?	courthouse	what was being built that resulted in the discovery of the african burial ground?	courthouse	the courthouse resulted in the discovery of the african burial ground
56cfb5cb234ae51400d9beb6	New_York_City	Which city in North America held the most slaves in the 1700s?	Charleston, South Carolina	which city in North America held the most slaves in the 1700s?	charleston, south Carolina	charleston, south Carolina was the city in north america that held the most slaves in the 1700
56cfb5cb234ae51400d9beb7	New_York_City	When was as African burial ground discovered after the building of new courthouse?	1990s	when was as African burial ground discovered after the building of new courthouse?	the African burial ground was discovered in the 1990s	the African burial ground was discovered in the 1990s
56cede40aab44d1400b88b71	New_York_City	In what year was John Peter Zenger tried?	1735	in what year was John Peter Zenger tried?	1735	john peter zenger was tried in 1735
56cede40aab44d1400b88b72	New_York_City	On what island did Zenger's trial occur?	Manhattan	on what island did zenger's trial occur?	manhattan	zenger's trial occurred on the island of Manhattan
56cede40aab44d1400b88b73	New_York_City	In what year was Columbia University chartered?	1754	in what year was Columbia University chartered?	1754	Columbia University was chartered in 1754
56cede40aab44d1400b88b74	New_York_City	Under what king did the founding of Columbia University occur?	George II	under what king did the founding of Columbia University occur?	george ii	the founding of Columbia University occurred under king george ii
56cede40aab44d1400b88b75	New_York_City	What was the original name of Columbia University?	King's College	what was the original name of Columbia University?	King’s College	Columbia University was originally named King’s College
56cfb691234ae51400d9bec3	New_York_City	Which trial in Manhatten helped establish the right of freedom of the press?	John Peter Zenger	which trial in Manhatten helped establish the right of freedom of the press?	john peter zenger	the trial involving john peter zenger helped establish the right of freedom of the press
56cfb691234ae51400d9bec4	New_York_City	Columbia University of New York was founded in what year?	1754	Columbia University of New York was founded in what year?	1754	Columbia University of New York was founded in 1754
56cfb691234ae51400d9bec5	New_York_City	The Stamp Act Congress had a meeting in 1765 in which US city?	New York	the Stamp Act Congress had a meeting in 1765 in which us city?	new York	the Stamp Act Congress had a meeting in 1765 in new York
56cedf11aab44d1400b88b93	New_York_City	What was the biggest battle of the American Revolution?	Battle of Long Island	what was the biggest battle of the American Revolution?	battle of long island	the battle of long island was the biggest battle of the American Revolution
56cedf11aab44d1400b88b94	New_York_City	In what borough did the Battle of Long Island occur?	Brooklyn	in what borough did the Battle of Long Island occur?	brooklyn	the Battle of Long Island occurred in the borough of Brooklyn
56cedf11aab44d1400b88b95	New_York_City	In what month and year was the Battle of Long Island fought?	August 1776	in what month and year was the Battle of Long Island fought?	august –1776	the Battle of Long Island was fought in august –1776
56cedf11aab44d1400b88b96	New_York_City	About how many escaped slaves were in New York during the time the British occupied it?	10,000	about how many escaped slaves were in new york during the time the british occupied it?	10,000	escaped slave -s were in new york during the time the british occupied it, approximately 10,000
56cedf11aab44d1400b88b97	New_York_City	In what year did the American Revolutionary War end?	1783	in what year did the american revolutionary war end?	1783	the american revolutionary war ended in 1783
56cfb897234ae51400d9bee3	New_York_City	Which battle was the largest battle of the American Revolutionary war?	The Battle of Long Island	which battle was the largest battle of the American Revolutionary war?	the battle of long island	the battle of long island was the largest battle of the American Revolutionary war
56cfb897234ae51400d9bee4	New_York_City	Which borough of New York was the Battle of Long Island fought?	Brooklyn	which borough of New York was the Battle of Long Island fought?	brooklyn	the Battle of Long Island was fought in the Brooklyn borough of New York
56cfb897234ae51400d9bee6	New_York_City	When did the English army start to retreat and evacuate NYC during the Battle of Long Island?	1783	when did the english army start to retreat and evacuate nyc during the battle of long island?	1783	the english army started to retreat and evacuate nyc during the battle of long island in 1783
56cee30faab44d1400b88bf1	New_York_City	On what date did the peace conference on Staten Island occur?	September 11, 1776	on what date did the peace conference on Staten Island occur?	september 11, 1776	the peace conference on Staten Island occurred on september 11, 1776
56cee30faab44d1400b88bf2	New_York_City	Who was the British representative at the Conference House meeting?	Lord Howe	who was the British representative at the Conference House meeting?	lord howe	the British representative at the Conference House meeting was lord howe
56cee30faab44d1400b88bf3	New_York_City	What notable catastrophe took place under the British occupation?	Great Fire of New York	what notable catastrophe took place under the British occupation?	the great fire of new york	the great fire of new york took place under the British occupation
56cee30faab44d1400b88bf4	New_York_City	In what modern-day borough did the Great Fire happen?	Manhattan	in what modern-day borough did the Great Fire happen?	manhattan	the Great Fire happened in the modern-day borough of Manhattan
56cee30faab44d1400b88bf5	New_York_City	What noted religious building was destroyed in the Great Fire?	Trinity Church	what noted religious building was destroyed in the Great Fire?	Trinity Church	Trinity Church was destroyed in the Great Fire
56cfb961234ae51400d9beff	New_York_City	Who was the English general who met with Benjamin Franklin on Septermber 11, 1776?	Lord Howe	who was the English general who met with benjamin franklin on september 11, 1776?	lord howe	the english general lord howe met with benjamin franklin on september 11, 17
56cfb961234ae51400d9bf00	New_York_City	Which natural disaster happened after English occupation of Lower Manhattan?	the Great Fire of New York	which natural disaster happened after English occupation of Lower Manhattan?	the Great Fire of New York	the Great Fire of New York happened after the English occupation of Lower Manhattan
56cee398aab44d1400b88bfb	New_York_City	In what year did New York become the United States capital?	1785	in what year did New York become the United States capital?	1785	New York became the United States capital in 1785
56cee398aab44d1400b88bfc	New_York_City	Who was the United States' first President?	George Washington	who was the United States' first President?	george washington	george washington was the United States’ first President
56cee398aab44d1400b88bfd	New_York_City	In what building did the Supreme Court of the United States first sit?	Federal Hall	in what building did the Supreme Court of the United States first sit?	federal Hall	the Supreme Court of the United States first sat in federal Hall
56cee398aab44d1400b88bfe	New_York_City	On what street did the writing of the Bill of Rights occur?	Wall Street	on what street did the writing of the bill of rights occur?	wall Street	the writing of the bill of rights occurred on wall Street
56cee398aab44d1400b88bff	New_York_City	What was the second largest city in the United States in 1790?	Philadelphia	what was the second largest city in the United States in 1790?	Philadelphia	Philadelphia was the second largest city in the United States in 1790
56cfbab4234ae51400d9bf19	New_York_City	Which organization made New York the national capital in 1785?	Congress of the Confederation	which organization made new york the national capital in 1785?	the Congress of the Confederation	the Congress of the Confederation made new york the national capital in 1785
56cfbab4234ae51400d9bf1b	New_York_City	New York City became the first what under the new Constitution of the United States?	capital	New York City became the first what under the new Constitution of the United States?	capital	the new Constitution of the United States established the new York City as the first capital
56cfbab4234ae51400d9bf1c	New_York_City	The first president, George Washington, took office in what year?	1789	the first president, george washington, took office in what year?	1789	the first president, george washington, took office in 1789
56cfbab4234ae51400d9bf1d	New_York_City	By which year, did New York City become the largest city in the United States?	1790	by which year, did New York City become the largest city in the United States?	1790	New York City became the largest city in the United States in 1790
56cee43eaab44d1400b88c05	New_York_City	In what year did the state of New York pass a law to free the slaves?	1799	in what year did the state of new york pass a law to free the slaves?	1799	the state of new york passed a law to free the slaves in 1799
56cee43eaab44d1400b88c06	New_York_City	What borough was home to a notable population of free African-Americans?	Manhattan	What borough was home to a notable population of free African-Americans?	manhattan	the borough of manhattan was home to a notable population of free African-Americans
56cee43eaab44d1400b88c07	New_York_City	Along with John Jay, who founded the New York Manumission Society?	Alexander Hamilton	along with john jay, who founded the new york manumission society?	alexander hamilton	the new york manumission society was founded along with john jay by alexander hamilton
56cee43eaab44d1400b88c08	New_York_City	In what year did the state of New York eliminate slavery?	1827	in what year did the state of new york eliminate slavery?	1827	the state of new york eliminated slavery in 1827
56cee43eaab44d1400b88c09	New_York_City	In 1840, about how many African-Americans lived in New York City?	16,000	in what year were about how many African-Americans living in New York City?	16,000	about 16,000 African-americans lived in New York City in 1840
56cfbb5f234ae51400d9bf2b	New_York_City	The gradual abolition act in New York was formed in what year?	1799	the gradual abolition act in new york was formed in what year?	1799	the gradual abolition act in new york was formed in 1799
56cfbb5f234ae51400d9bf2c	New_York_City	When was slavery completely outlawed in the state of New York?	1827	when was slavery completely outlawed in the state of New York?	1827	slavery was completely outlawed in the state of new york in 1827
56cee4d1aab44d1400b88c0f	New_York_City	What plan of 1811 spread a grid of streets across Manhattan?	Commissioners' Plan	What plan of 1811 spread a grid of streets across Manhattan?	Commissioners’ Plan	the Commissioners’ Plan spread a grid of streets across Manhattan
56cee4d1aab44d1400b88c10	New_York_City	In what year did the Erie Canal finish building?	1825	in what year did the Erie Canal finish building?	1825	the Erie Canal finished building in 1825
56cee4d1aab44d1400b88c11	New_York_City	What political machine controlled New York politics in this era?	Tammany Hall	what political machine controlled New York politics in this era?	tammany hall	tammany hall controlled New York politics in this era
56cee4d1aab44d1400b88c12	New_York_City	Along with German immigrants, immigrants of what nationality supported Tammany Hall?	Irish	along with german immigrants, immigrants of what nationality supported tammany hall?	irish	immigrants of the irish nationality supported tammany hall
56cfbc57234ae51400d9bf31	New_York_City	The Erie Canal was finished being built in what year?	1825	the Erie Canal was finished being built in what year?	1825	the Erie Canal was finished being built in 1825
56cee50caab44d1400b88c17	New_York_City	What was the name of the first urban landscaped park in the United States?	Central Park	What was the name of the first urban landscaped park in the United States?	central Park	the first urban landscaped park in the united states was central Park
56cee50caab44d1400b88c18	New_York_City	In what year was Central Park founded?	1857	in what year was Central Park founded?	1857	Central Park was founded in 1857
56cfbc81234ae51400d9bf3b	New_York_City	Central park, in 1857, became the first park in America to become what?	first landscaped	Central park, in 1857, became the first park in America to become what?	first landscaped	the Central Park was the first landscaped park in America
56cee5a1aab44d1400b88c23	New_York_City	What event brought many Irish immigrants to the United States?	Great Irish Famine	what event brought many Irish immigrants to the United States?	the great Irish famine	many Irish immigrants were brought to the united states due to the great Irish famine
56cee5a1aab44d1400b88c24	New_York_City	In 1860, approximately how many people of Irish extraction were in New York?	200,000	in what year were approximately how many people of Irish extraction in New York?	200,000	approximately 200,000 people of Irish extraction were in New York
56cee5a1aab44d1400b88c25	New_York_City	In 1860, what fraction of the city population was composed of Irish immigrants?	a quarter	in what year were the five borough -s combined into one city?	1898	the five borough -s were combined into one city in 1898
56cee5a1aab44d1400b88c26	New_York_City	In 1860, what percentage of the city population was composed of German immigrants?	25%	in what year were the five borough -s combined into one city?	1898	the five borough -s were combined into one city in 1898
56cee5a1aab44d1400b88c27	New_York_City	What events provoked the immigration of people from Germany?	revolutions	what events provoked the immigration of people from Germany?	revolutions	the revolutions provoked the immigration of people from Germany
56cfbef5234ae51400d9bf41	New_York_City	Which event brought upon a lot of Irish immigrants to NYC?	Great Irish Famine	which event brought upon a lot of Irish immigrants to nyc?	the great Irish Famine	the great Irish Famine brought upon a lot of Irish immigrants to nyc
56cfbef5234ae51400d9bf42	New_York_City	How many immigrants that were Irish were living in New York in 1860?	Over 200,000	how many immigrants that were irish were living in new york in 1860?	over 200,000	over 200,000 immigrants that were irish were living in new york in 1
56cee638aab44d1400b88c31	New_York_City	Who was the mayor of New York City in 1861? 	Fernando Wood	who was the mayor of New York City in 1861?	fernando wood	fernando wood was the mayor of New York City in 1861
56cee638aab44d1400b88c32	New_York_City	What was the commutation fee to avoid being conscripted during the American Civil War?	$300	what was the commutation fee to avoid being conscripted during the American Civil War?	$300	the commutation fee to avoid being conscripted during the American Civil War was $300
56cee638aab44d1400b88c33	New_York_City	People of what ethnicity most visibly participated in the Draft Riots of 1863?	Irish	people of what ethnicity most visibly participated in the draft riot -s of 1863?	Irish	the Irish most visibly participated in the draft riot -s of 1863
